lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
IXI134-Guys-0780	2094.0	1750.0	8288.0	2811.0	2185.0	11469.0	13187.0	13216.0	2584.0	12901.0	8184.0	5285.0	5521.0	12556.0	1908.0	3521.0	5499.0	2279.0	4071.0	1504.0	11240.0	3111.0	14645.0	9799.0	2095.0	15902.0	25204.0	12815.0	13886.0	12232.0	1017.0	2363.0	1211.0	7723.0	1261008.0	1698869.27871
IXI135-Guys-0779	2249.0	1674.0	6989.0	2923.0	1656.0	9993.0	9945.0	11641.0	2457.0	11791.0	8438.0	5719.0	5096.0	9861.0	1684.0	3173.0	4258.0	2785.0	3278.0	1599.0	9216.0	3132.0	14332.0	9028.0	2082.0	14871.0	22633.0	11940.0	10246.0	9906.0	850.0	2222.0	1214.0	6864.0	1140963.0	1532260.56698
IXI136-HH-1452	2863.0	1708.0	7905.0	3259.0	2349.0	9022.0	12504.0	12882.0	2914.0	14779.0	8722.0	5946.0	5852.0	12004.0	1941.0	3828.0	5250.0	2990.0	5287.0	1997.0	12530.0	3189.0	14922.0	12093.0	2691.0	18679.0	24690.0	19032.0	13581.0	14676.0	876.0	2642.0	1270.0	7542.0	1346537.0	1869404.60045
IXI137-HH-1472	3034.0	1659.0	6508.0	2795.0	2709.0	8288.0	11742.0	9948.0	2745.0	11881.0	7311.0	5855.0	4496.0	11122.0	1986.0	3283.0	4564.0	2130.0	3538.0	1634.0	10843.0	3036.0	12792.0	9318.0	3081.0	14243.0	22270.0	13793.0	12454.0	10516.0	1133.0	2353.0	1051.0	8000.0	1198914.0	1621306.37083
IXI138-Guys-0746	2412.0	2095.0	6131.0	2636.0	1711.0	11540.0	12812.0	11786.0	2265.0	13693.0	7793.0	6828.0	5425.0	10817.0	1756.0	3909.0	4710.0	2572.0	4141.0	2145.0	9240.0	3044.0	12413.0	9677.0	2808.0	19162.0	22703.0	15868.0	12404.0	12768.0	906.0	2436.0	973.0	7290.0	1279556.0	1684318.44315
IXI139-Guys-0815	2627.0	2630.0	5956.0	3112.0	2541.0	10010.0	11575.0	12029.0	2809.0	12448.0	8004.0	5978.0	6386.0	11364.0	2071.0	3546.0	4400.0	2132.0	3328.0	2029.0	14095.0	3664.0	11512.0	10510.0	2983.0	21325.0	24769.0	13575.0	13112.0	12188.0	1233.0	3416.0	1231.0	7682.0	1269963.0	1634171.29151
IXI140-Guys-0787	2452.0	2567.0	5928.0	2749.0	1912.0	8854.0	11276.0	10890.0	2783.0	13352.0	8158.0	6644.0	5500.0	11195.0	1759.0	3591.0	4334.0	2886.0	5083.0	1380.0	9737.0	3457.0	13475.0	9814.0	3174.0	17101.0	21251.0	14097.0	10041.0	12503.0	1062.0	2300.0	1202.0	7431.0	1115754.0	1465351.77912
IXI141-Guys-0789	1703.0	1114.0	6331.0	2907.0	2374.0	8267.0	11565.0	8076.0	2182.0	10731.0	6405.0	4720.0	4841.0	9128.0	1867.0	3206.0	4499.0	1772.0	3082.0	1736.0	7395.0	2651.0	10393.0	7695.0	2640.0	12131.0	18643.0	10541.0	10043.0	8750.0	833.0	2927.0	1000.0	6538.0	1030284.0	1468222.47622
IXI142-Guys-0786	2064.0	1520.0	5385.0	3134.0	1711.0	8299.0	12315.0	11430.0	1951.0	10437.0	6408.0	5980.0	5003.0	10769.0	1847.0	3211.0	4155.0	2146.0	3136.0	2410.0	8579.0	2978.0	12535.0	8764.0	2340.0	13588.0	19675.0	12296.0	12060.0	9168.0	1068.0	2259.0	1092.0	6447.0	1070883.0	1449021.60516
IXI143-Guys-0785	1661.0	1679.0	4851.0	2353.0	2139.0	9735.0	10738.0	10794.0	2066.0	12035.0	7835.0	4330.0	4557.0	8348.0	2057.0	3017.0	3942.0	2246.0	3312.0	1605.0	7436.0	3001.0	12621.0	8655.0	2226.0	16940.0	22559.0	11808.0	10339.0	8609.0	809.0	2269.0	671.0	5919.0	1042046.0	1345723.44135
